Config,Cambio,FID,KID,IS
B-WGAN-GP,GP + critic,77.68547861778995,0.05694938659667969,4.53223719493976
C-LSGAN,Least-squares,95.89686916979542,0.07359189987182617,4.150167711416437
A-DCGAN,Baseline,97.0739820210128,0.07456816911697388,4.294457670993594
