event,n,acc,macro_f1
,30,0.6,0.1875
NotreDame,225,0.2222222222222222,0.16147468801482806
GretaThunberg,139,0.48201438848920863,0.1584541062801932
LaLiga,119,0.46218487394957986,0.14841269841269839
SpainElection,218,0.3669724770642202,0.14560796346510632
ChampionsLeague,232,0.3922413793103448,0.14313343799058087
GameOfThrones,219,0.3150684931506849,0.13535389066386372
Venezuela,234,0.36752136752136755,0.13327506659021476
WorldBookDay,240,0.3625,0.11418565270935961
