modelo,accuracy,macro_f1,weighted_f1
robertuito,0.3508454106280193,0.1752540603113031,0.34704877648517524
svm,0.3641304347826087,0.157930415586562,0.34883498240485605
beto,0.35446859903381644,0.15689075536950223,0.3450957809258443
