event,n,acc,macro_f1
,30,0.6,0.1875
SpainElection,218,0.3669724770642202,0.1635893261890716
Venezuela,234,0.3717948717948718,0.15734704834874616
GretaThunberg,139,0.4460431654676259,0.15387688551106843
GameOfThrones,219,0.3150684931506849,0.14998562311522548
LaLiga,119,0.42857142857142855,0.1465070876835583
ChampionsLeague,232,0.36637931034482757,0.13901957398169948
WorldBookDay,240,0.3541666666666667,0.12095548546073284
NotreDame,225,0.2222222222222222,0.11160807518273581
