label,precision,recall,f1,support
anger,0.11949685534591195,0.1130952380952381,0.1162079510703364,168
disgust,0.14285714285714285,0.030303030303030304,0.05,33
fear,0.0,0.0,0.0,21
joy,0.2613981762917933,0.24293785310734464,0.2518301610541728,354
others,0.5080731969860065,0.5798525798525799,0.5415949512335054,814
sadness,0.13333333333333333,0.12060301507537688,0.1266490765171504,199
surprise,0.02702702702702703,0.014925373134328358,0.019230769230769232,67
