label,precision,recall,f1,support
anger,0.15706806282722513,0.17857142857142858,0.1671309192200557,168
disgust,0.0,0.0,0.0,33
fear,0.0,0.0,0.0,21
joy,0.23931623931623933,0.23728813559322035,0.23829787234042554,354
others,0.5103686635944701,0.5442260442260443,0.5267538644470868,814
sadness,0.14427860696517414,0.1457286432160804,0.145,199
surprise,0.03571428571428571,0.014925373134328358,0.021052631578947368,67
