event,n,acc,macro_f1
,30,0.6,0.1875
SpainElection,218,0.3440366972477064,0.18522793899554704
GameOfThrones,219,0.3105022831050228,0.1847611433972808
GretaThunberg,139,0.4244604316546763,0.15883846186233455
Venezuela,234,0.36324786324786323,0.15771097312941995
ChampionsLeague,232,0.3706896551724138,0.13613759658063457
NotreDame,225,0.27555555555555555,0.1284018801012454
LaLiga,119,0.4117647058823529,0.12424888544291528
WorldBookDay,240,0.32916666666666666,0.11708989348300392
